Date,Event mm,Flag,
10/12/2014 15:29:14,0.2,,
10/12/2014 15:38:13,0.2,,
10/12/2014 15:46:24,0.2,,
12/12/2014 15:32:19,0.2,,
12/12/2014 15:36:13,0.2,,
12/12/2014 15:48:29,0.2,,
12/12/2014 16:01:56,0.2,,
12/12/2014 16:31:07,0.2,,
12/12/2014 16:41:53,0.2,,
12/12/2014 16:49:18,0.2,,
12/12/2014 16:54:14,0.2,,
12/12/2014 18:56:47,0.2,,
12/12/2014 19:30:22,0.2,,
12/12/2014 19:30:23,0.2,,
12/12/2014 19:35:58,0.2,,
12/12/2014 19:35:59,0.2,,
12/12/2014 19:38:38,0.2,,
12/12/2014 19:40:51,0.2,,
12/12/2014 19:43:05,0.2,,
12/12/2014 19:45:27,0.2,,
12/12/2014 19:45:28,0.2,,
12/12/2014 19:48:24,0.2,,
12/12/2014 19:48:25,0.2,,
12/12/2014 19:54:29,0.2,,
12/12/2014 19:54:30,0.2,,
12/12/2014 19:59:22,0.2,,
12/12/2014 20:09:35,0.2,,
12/12/2014 20:09:36,0.2,,
12/12/2014 20:19:17,0.2,,
12/12/2014 20:36:29,0.2,,
12/12/2014 21:54:36,0.2,,
13/12/2014 01:10:18,0.2,,
13/12/2014 01:16:25,0.2,,
13/12/2014 01:23:06,0.2,,
13/12/2014 01:23:07,0.2,,
13/12/2014 01:26:31,0.2,,
13/12/2014 01:28:37,0.2,,
13/12/2014 01:30:10,0.2,,
13/12/2014 01:31:37,0.2,,
13/12/2014 01:33:05,0.2,,
13/12/2014 01:34:53,0.2,,
13/12/2014 01:36:28,0.2,,
13/12/2014 01:38:29,0.2,,
13/12/2014 01:40:04,0.2,,
13/12/2014 01:41:41,0.2,,
13/12/2014 01:41:42,0.2,,
13/12/2014 01:43:55,0.2,,
13/12/2014 01:48:40,0.2,,
13/12/2014 01:55:05,0.2,,
13/12/2014 02:04:23,0.2,,
13/12/2014 02:06:54,0.2,,
13/12/2014 02:14:46,0.2,,
13/12/2014 02:14:47,0.2,,
13/12/2014 02:54:44,0.2,,
13/12/2014 05:06:37,0.2,,
13/12/2014 05:20:22,0.2,,
13/12/2014 05:33:50,0.2,,
13/12/2014 05:33:51,0.2,,
13/12/2014 05:38:11,0.2,,
13/12/2014 05:44:19,0.2,,
13/12/2014 06:03:03,0.2,,
13/12/2014 12:42:00,0.2,,
13/12/2014 16:09:32,0.2,,
13/12/2014 17:07:17,0.2,,
13/12/2014 17:09:53,0.2,,
13/12/2014 17:11:04,0.2,,
13/12/2014 17:12:30,0.2,,
13/12/2014 17:14:15,0.2,,
13/12/2014 17:14:16,0.2,,
13/12/2014 17:16:46,0.2,,
13/12/2014 17:16:47,0.2,,
13/12/2014 17:19:12,0.2,,
13/12/2014 17:21:13,0.2,,
13/12/2014 17:23:44,0.2,,
13/12/2014 17:26:20,0.2,,
13/12/2014 17:30:50,0.2,,
13/12/2014 17:36:54,0.2,,
13/12/2014 18:14:37,0.2,,
13/12/2014 18:30:56,0.2,,
14/12/2014 15:11:47,0.2,,
14/12/2014 15:11:48,0.2,,
14/12/2014 17:03:10,0.2,,
14/12/2014 22:02:10,0.2,,
15/12/2014 18:23:43,0.2,,
15/12/2014 18:33:27,0.2,,
15/12/2014 18:42:27,0.2,,
15/12/2014 18:42:28,0.2,,
15/12/2014 18:50:20,0.2,,
15/12/2014 19:03:17,0.2,,
